"label","project_acronym","title","abstract","pi","year","project_budget","host_institution","screened_abstracts","notes"
"ref_001","SMADBINS","Smart Dust Batteries Integrated with Near-Zero-Power Surveillance","The lack of an on-chip power source providing uninterrupted energy impedes the progress of smart dust in moving from lab-level demonstrations to everyday applications. Tiny generators relying on external energy sources face spatial and temporal limitations. Batteries with adequate energy are not available in an area of less than 1 mm2, and the reasons for their absence are manifold. Mainstream battery architectures require either thick or tall electrodes created by etching into the wafer, but it is very fiddly to deposit materials onto these electrodes without defects. High-capacity materials such as lithium cobalt oxide, sulfur and lithium metal are often excluded because on-chip techniques to synthesize or stabilize such materials are missing. Moreover, a low-power monitor to provide precise information about the energy storage state and battery health is essential for real applications but unexplored so far. These difficulties demand a paradigm shift in microbattery development to pursue novel approaches that offer energy-dense microbatteries integrable into microsystems. Therefore, we propose a micro-origami technology for on-chip microbatteries using aqueous zinc battery chemistry, together with embedded surveillance based on a non-volatile redox transistor with near-zero power consumption. SMADBINS is expected to bring advances in battery chemistry and materials and on-chip energy production and management, boosting research for microbattery and smart dust applications, as was recently highlighted by the PI [Nature, 2021, 589, 195]. The PI has decisively contributed to the field of aqueous microbatteries and developed the smart dust battery concept together with his team in several publications. However, a smart dust battery has not been achieved yet. Therefore, the main objective of this project is to develop the first smart dust battery embedded with a low-power monitor, which attains a footprint capacity of more than 10 mAh/cm2 within 1 mm2.","ZHU Minshen",2021,1498624,"Chemnitz University of Technology","excluded",NA
"ref_002","ACC-3D","Auxetic Cementitious Composites by 3D Printing","Concrete is inherently brittle. This is a problem because important structures such as nuclear power plants need ductility to remain functional after earthquakes and impacts. ACC-3D aims at creating novel, ductile cementitious composites by using local reinforcement with an unusual quality, negative Poisson's ratio, known as auxetics. Currently, steel rebars or fibers are used to make concrete ductile. Such reinforcement is only active once the concrete has cracked: it prevents existing cracks from growing. Cracking might leave structures unfunctional or vulnerable to repeated events and aftershocks. Can we make reinforcement actively work with concrete already before cracking by making it auxetic? This has never been attempted before. Emerging auxetics with complex architectures fabricated by 3D printing offer excellent energy absorption capacity. However, they have low stiffness which makes them unsuitable for structural applications. I believe that using auxetics as reinforcement in cementitious composites will result in energy absorption at least 2 times higher than current approaches without impairing the stiffness. Through a preliminary study I discovered that auxetics can outperform conventional reinforcement in cementitious composites in terms of flexural strength and energy absorption. However, the mechanism of interaction between deformable auxetic reinforcement and the stiff cementitious matrix is unknown. In ACC-3D I aim to fundamentally understand and fully exploit the potential of auxetic cementitious composites by combining design, experiments, and numerical modelling. This will allow me to create innovative cementitious composites with high ductility and energy absorption capacity. The approach developed in ACC-3D will open possibilities for development of designer construction materials, allowing mechanical response of building materials to be tuned through purposefully adjusting their material architecture.","ŠAVIJA Branko",2021,1498201,"Delft University of Technology","selected",NA
"ref_003","FAIR-RFB","Engineered Porous Electrodes to Unlock Ultra-low Cost Fe-Air Redox Flow Batteries","This proposal will develop a game-changing paradigm to design, synthesize, and functionalize porous electrode materials with far-reaching consequences in electrochemical science and engineering. Focusing on the Fe-air redox flow battery (FAIR-RFB), which holds promise for low-cost, long duration energy storage, I will employ an interdisciplinary approach bridging (electro)chemical engineering, materials science, and computational design to address the following fundamental challenges: (1) I will elucidate the role of the porous electrode microstructure. I will introduce a new methodology that couples evolutionary algorithms with microstructure-informed simulations to predict ideal electrode geometries. A versatile synthetic platform, non-solvent induced phase separation, will be leveraged to synthesize highly controlled 3D microstructures and train neural networks to accelerate the discovery of optimal geometries. (2) I will determine to what extent surface moieties of the porous electrode influence transport phenomena, kinetics, and durability. I will employ electrografting of select molecules to functionalize porous electrodes and impart functional properties (wettability, activity, stability). I will perform nanoelectrochemical imaging to elucidate the role of electrode-coating-electrolyte phenomena. (3) I will develop a novel electrochemical reactor architecture for high-power Fe-air RFBs. Building upon the two previous developments, I will synthesize tailored iron and air electrodes and leverage polymeric bipolar membranes to realize a high voltage and low resistance electrochemical cell. Advanced imaging techniques, i.e. energy- and wavelength-selective neutron imaging, will be employed to visualize reactive transport phenomena during operation, thus helping to address these questions. The novel approaches developed in FAIR-RFB will enable breakthroughs in performance and durability of large-scale electrochemical energy storage systems.","FORNER-CUENCA Antoni",2021,1999958,"Eindhoven University of Technology","excluded",NA
"ref_004","RACER","Highly Redox-active Atomic Centers in Electrode Materials for Rechargeable Batteries","Lithium-ion batteries are the state-of-the-art electrochemical energy storage technology, sodium-ion batteries are about to become commercial, and potassium-ion batteries are attracting rapidly increasing interest. All these alkali-ion battery (AIB) technologies, especially the already or soon-to-be commercialized battery chemistries, have one common characteristic making them so successful – the use of insertion-type electrode materials. These materials provide sufficient space in their crystal structure for the alkali ions to be reversibly inserted, without causing substantial (irreversible) rearrangement. However, the fact that the ions can only occupy specific sites in the host lattice intrinsically limits the amount of ions that can be reversibly inserted. The aim of this project is the development of a new family of electrode materials for AIBs, which is characterized by an innovative storage mechanism. This mechanism combines the benefits of a stable insertion-type host structure with an extended redox activity and additional available space for the alkali-ion charge carriers resulting from the introduction of carefully selected atomic redox centres (ARCs). Based on own preliminary results and new yet to be developed suitable host matrices and ARCs, and their comprehensive investigation by highly complementary ex/in situ and operando characterization techniques to gain an in-depth understanding of this new mechanism, we will develop specific guidelines and design criteria for the realization of such novel materials. These criteria and guidelines will be effectively evaluated by designing new materials which benefit of this new charge storage mechanism and, thus, enable long-term stable insertion-type AIBs with enhanced energy and power densities. Moreover, the results obtained will allow for an improved understanding of the redox behaviour of the highly active ARCs at the atomic level – a field of research that has been limited to theoretical studies so far","BRESSER Dominic",2021,1324314,"Karlsruhe Institute of Technology","excluded",NA
"ref_005","GLITR","Breaking through: The Impact of Turbulence on the Gas-Liquid Interface","A rigorous understanding of the role of turbulence, with its wide range of scales and phenomena, on mass transport across a gas-liquid interface (GLI) is one of the remaining challenges in fluid mechanics. Its importance is illustrated by considering that nearly 50% of anthropogenic CO2 is driven into the oceans by a turbulent process we do not fully understand. We know that turbulence modifies the topology of the GLI from both the liquid and gas sides, but due to the complexity of the problem, we do not understand the dominant mechanisms that control this process or how they connect to mass transfer. My previous work has both shown how turbulence can be tailored in the lab and how the parameters of the turbulence influence shear on a surface, making me well placed to tackle this problem. A plethora of models based on limited data exist for mass transfer across a GLI, but they have contrasting backgrounds, parameters, and results. This is indicative that something is missing and that there is a critical need for deeper understanding of the underlying phenomena. GLITR will provide a step change in our understanding of phenomena at the GLI by initiating a paradigm shift in the way lab experiments are conducted, considering the complexity of interacting turbulent gas and liquid flows for the first time. Tailored turbulence with adjustable intensity and length scales will be generated with an active turbulence generator in both the gas and liquid simultaneously to provide new insight not previously accessible. This will result in deformed interfaces that will necessitate the development of new methods to investigate the associated mass transport and fluid mechanics. Correlations between the tailored turbulence in both the gas and liquid, the surface topology, and the mass transport across the GLI will enable the development of data-driven models and breakthroughs in our understanding of interfacial phenomena while initiating a wholly new way of addressing this problem.","HEARST R. Jason",2021,2320575,"Norwegian University of Science and Technology","excluded",NA
"ref_006","SURFACE","Towards Future Interfaces With Tuneable Adhesion By Dynamic Excitation","Macroscopic adhesion is of utmost importance in key technologies such as soft and climbing robots, aerospace grasping technologies, human-robot interactions, pick-and-place manipulators. Commonly, bioinspired adhesives interfaces have been characterized from a quasi-static perspective, neglecting the effect of dynamic excitations. Nevertheless, recent observations suggest that added micro-vibrations may be exploited to strongly enhance and rapidly tune macroscopic adhesion. By exploiting the multiplicative coupling between geometric- and viscoelastic vibration-induced enhancements of macroscopic adhesion, SURFACE aims at designing future soft interfaces with unprecedented and tuneable adhesion strength. To this end, I aim to: (i) develop highly efficient numerical tools for studying adhesion of patterned soft surfaces under micro-vibration excitation, (ii) unveil the coupling effect between topography and viscoelasticity that determine the interfacial strength and toughness (iii) design optimal surface topography and excitation for macroscopic adhesion tuning, by exploiting artificial intelligence models to unveil new mechanisms for adhesion enhancement, (iv) prove the adhesive performance reached, by experimentally testing high-resolution 3D printed interfaces with the desired topography and superposed micro-vibrations. So far, the adhesive performance of bioinspired patterned interfaces has been limited by manufacturing capabilities at the micro/nanoscale. SURFACE ground-breaking approach aims at exploiting dynamics excitation to outperform state-of-the-art adhesive interfaces. By exploiting artificial intelligence models, SURFACE aims at revealing new mechanisms for adhesion enhancement, which lay beyond our intuition. Rapidly tuneable strong adhesive interfaces have the potential to revolutionize cutting-edge technologies based on soft adhesive interfaces that require to move and place objects quickly and with accuracy.","PAPANGELO Antonio",2021,1499750,"Polytechnic University of Bari","excluded",NA
"ref_007","DYNPRESS","Towards materials at extremes: from intense dynamic compression to expansion","The project aims at developing robust, reliable and effective techniques for generation of extreme conditions. Positive TPa as well as negative MPa pressures in liquids will be produced with limited resources available in everyday research environment. The project offers a unique integration of approaches and resources in high voltage engineering and plasma physics applications towards classical problems of compressible fluid mechanics. It investigates by experiment, computation and theory the major physical properties of imploding shock waves in liquids and offers approaches to enhance efficiency of the focal energy concentration. The project develops a novel method for generation of imploding rarefaction waves, a well controlled scenario that provides with exactly opposite range of extreme conditions, namely negative pressures in liquids. The approaches comprise a single generator facility that opens research on a broad spectrum of basic-to-applied subjects, promising a long-term investment towards studies of materials at extremes. The facility is applied on a selected subject of mechanical treatment of cellulose fibers, aiming at enhancing the efficiency of fibres disintegration, homogenization and fibrillation processes by applying, both selectively and combined, compression and tension pulses on a broad range of intensities, from strong to extreme.","LIVERTS Michael",2021,1496873,"Royal Institute of Technology (KTH)","excluded",NA
"ref_008","SCRAMBLE","Turbulence-On-a-Chip: Supercritically Overcoming the Energy Frontier in Microfluidics","The technological opportunities enabled by understanding and controlling the microscale world have not yet been capitalized to disruptively improve energy processes, especially heat transfer and power generation. This is mainly due to the laminar flows typically encountered in microdevices resulting in low mixing and transfer rates. This is a central unsolved problem in the thermal-fluid sciences, in what some researchers refer to as lab-on-a-chip and energy - the microfluidic frontier. Therefore, the overarching goal of the SCRAMBLE project is to overcome this long-standing frontier by (i) discovering the fundamentals of inducing turbulent flow in microchips by means of utilizing high-pressure supercritical fluids, (ii) finding the critical conditions to drastically enhance and control mixing and transfer processes, and (iii) designing, fabricating and testing a disruptive first-ever series of turbulence-on-a-chip prototypes for transferring energy with a hundredfold performance improvement with respect to standard microsystems. Achieving microconfined turbulence has deep scientific and engineering implications for disruptively advancing microfluidic-intensive applications, like for example in chemistry and biomedicine, and to open a new research avenue to develop and apply groundbreaking turbulent flow solutions to microfluidic energy conversion and power generation technologies (these consume an aggregated 70% of the European Union?s energy). In the medium- to long-term future, the technology proposed could enable (i) the efficient miniaturization of thermodynamic cycles for power generation, (ii) reconceptualization of the next-generation of computer processors based on remarkably powerful microfluidic-based cooling, and (iii) the adoption of novel microfluidic solutions in fuel cells for transportation and propulsion. These advances, together with many other potential breakthroughs, could help drive the transition toward a greener energy economy.","JOFRE CRUANYES Lluis",2021,1487500,"Technical University of Catalonia","excluded",NA
"ref_009","G-CYBERHEART","Computationally and experimentallY BioEngineeRing the next generation of Growing HEARTs","Congenital Heart Disease (CHD) results when the heart abnormally develops before birth. With diminished cardiac function, the heart fails to supply the required oxygenated blood to the body, causing a cascade of failures at different scales that prevent the newborn from growing normally. Even with improved surgical and medical treatments, CHD remains a lifelong risk factor for many diseases. An emerging application in cardiac tissue engineering is the 3D bioprinting of human hearts, or their parts, for clinical transplantation, with CHD representing a potential therapeutic target. Whereas the fabrication of bioartificial hearts is currently feasible, there remain significant scientific and technological challenges that yet need to be overcome. The development of novel experimental approaches is fundamental. At the same time, there is a pressing need for complementary computational methods to efficiently assist in the design of biophysically feasible and printable hearts, which must necessarily grow with the CHD patient's body while adapting to lifelong changes in hemodynamic conditions. In this project, therefore, I will develop a highly novel and interrelated experimental and computational approach for reproducing and predicting growing conditions of bioengineered hearts. The ambitious experimental design will enhance the maturation of cardiac muscle and biomechanical function of bioprinted ventricles in dynamic bioreactors. The highly-coupled multi-physics computational platform will describe these complex processes under multiple stimulated conditions to, ultimately, predict the critical adaptation and evolution of bioengineered ventricles potentially implanted in CHD patients. Therefore, by integrating ground-breaking methods within an extremely complex scenario, G-CYBERHEART will cross boundaries to drive advances in regenerative medicine and tissue engineering that will help accelerate the development of the bioengineered heart of the future.","LATORRE FERRÚS Marcos",2021,1497351,"Technical University of Valencia","excluded",NA
"ref_010","NoOne","A binary sensor with single-molecule digit to discriminate biofluids enclosing zero or at least one biomarker","Biomarkers are measurable indicators of a particular disease state of an organism. There has been an increasing demand for diagnostic markers, enabling reliable and non-invasive screening of peripheral biofluids. It is also established that a universal screening against life-threatening diseases, such as cancer, or infectious disease outbreaks, can be accomplished only by combining genomic and protein marker-based tests. The NoOne project aims at conceiving, engineering, fabricating and validating a ground-breaking platform based on a single-molecule binary bioelectronic sensor, capable to reliably discriminate biofluid samples enclosing zero biomarkers from those containing just one. The technology can be used for ultimate binary sensing of both proteins/peptides and genomic markers to enable the reliable screening of diseases such as cancer as well as viral and bacterial infections. The NoOne binary platform is designed to be portable, cost-effective, easy to operate and with a time-to-results within one hour. hence it is the ideal candidate for point-of-care applications. The prototype will enable clinicians, phytopathologists or veterinaries, to identify the set of samples that are totally free from a protein, peptide or genomic marker as well as from a pathogen (virus or bacteria), from those enclosing at least one with a confidence level of 99%. This makes the NoOne platform the best performing ever in enabling a fast, highly reliable, cost-effective identification of the subset of biological samples belonging to the potentially diseased part of a population. This is of paramount importance for predictive screening of humans, plants or animals. NoOne will demonstrate its effectiveness in key relevant applications such as the binary detection of pancreatic cancer biomarkers, SARS-CoV-2 virus, the Xylella Fastidiosa bacterium and the assay of post translational peptides evidencing the phosphorylated forms regulating crosstalk with oncogenic signalling pathways.","MACCHIA Eleonora",2021,2499579,"University of Bari Aldo Moro","excluded",NA
