Project acronym,title,abstract
DEMOTRADEOFF,Reconciling Citizens with the Tradeoffs of Democracy: Attitudes Toward Democracy Under Rising Politicization,"Democracies involve tradeoffs since all their desirable qualities cannot be simultaneously maximized. Hard choices must be made in order to balance democratic principles such as popular sovereignty and the rule of law, or freedom and political equality. These tradeoffs would not be problematic as long as citizens and political leaders were open to compromise and accept that democracy requires a delicate balancing of virtues. The politicization of these tradeoffs in recent events such as Brexit or Poland’s judicial reform suggests that this is likely not the case. However, we still know very little about the positions of citizens and parties regarding democratic tradeoffs. how these contribute to citizens’ increasing discontent with democracy. how the rising politicization of the tradeoffs of democracy might exacerbate these dynamics. and whether it is possible to curb this process. To investigate these questions this project: (1) elaborates a conceptual map of democratic tradeoffs and empirically examines citizens’ preferences and parties’ positions on them. (2) analyzes the determinants of citizens’ democratic tradeoff preferences, and how the interplay between these preferences and parties’ politicization of these tradeoffs affects individuals’ support and satisfaction with democracy. (3) examines how citizens can be reconciled with the idea that some democratic qualities cannot be simultaneously maximized. The empirical analysis focuses on 15 European countries and implements an integrative multi-method approach combining cross-sectional and panel surveys, content analysis, and experiments. The proposed project breaks new theoretical and methodological ground in the study of political culture. It brings the inherent tensions of democracy to the forefront and develops new tools for the measurement of tradeoff preferences and their consequences."
LIVE-AR,The subsequent lives of Arab revolutionaries,"What are the biographical consequences and the social outcomes of revolutionary activism when the revolutionary moment turns into a civil war, an authoritarian restoration, a fragile democratic transition, or a return to the former 'years of lead'? LIVE-AR will develop a novel and ambitious analytical approach that will focus on the 'subsequent lives' of ordinary revolutionaries in four contrasted case-studies: Morocco, Tunisia, Egypt and Syria. By articulating the micro and meso levels, it will propose a groundbreaking three-fold shift from the usual viewpoint: a) from the revolutionary moment to the 'subsequent lives' of the women and men who participated in these events and a longitudinal analysis. b) from political and state institutions and macro-political transformations to the ordinary activists and the individual level. and c) from national studies to cross-national comparisons in order to comprehend patterns and variations depending on the political context. This analytical framework will unfold along four intertwined lines of research: 1) activist careers and biographical consequences, 2) 'emotional legacies', 3) revolutionary interpersonal networks, 4) revolutionary organizations. In so doing it will not only contribute to the literature on social movements, activism and contentious politics, by providing if not a collective biography at least a detailed 'mosaic of life-stories' of activists from the Global South, but also to the field of comparative politics to which it will offer original and empirically-grounded data to document the multiple possible social outcomes of revolutionary processes as they unfold in non-democratic contexts. The project will rely on a multidisciplinary skilled team and devise a diversified qualitative methodological 'toolkit' combining life story interviews with life calendars, an analysis of digital social networks and internet archives, ethnographic observations of daily life practices and encounters, and secondary sources."
E-BoP,European Birds of Passage - An Empirical Legal Theory of Temporary Labour Migration in Europe,"The E-BoP project is an innovative study of the legal framework for temporary labour migration in the European Union (EU). While unevenly researched, the subject is hotly debated and in continuous expansion. Temporary labour migration increasingly represents the compromise between calls to take back control of borders, and the demands from employers of access to migrant workforce. The legal regulation of this phenomenon is grounded on concepts, such as temporariness and labour market, which are either not defined by the law or in conflict with their socio-economic reality. E-BoP explores these concepts through an empirical legal analysis to address the foundations of the legal framework for temporary labour migration in the EU. In doing so, it covers forms of temporary labour migration which legal doctrine has never analysed together, namely posting of workers, seasonal work, and intra-corporate transfers. The project aims to answer a set of questions concerning this legal framework: what is the implicit definition of labour market accepted by legislation and courts, and what are its boundaries? What does the law mean when it classifies certain migrant workers as temporary? What would be the legal and socio-economic consequences of conceiving temporary labour migrants as fully integrated in the Member State where they perform their work? The E-BoP project triangulates the results of a systematic analysis of legal documents with quantitative analysis of the phenomena at stake to explore the real world meaning of concepts upon which the legal regulation of temporary labour migration in the EU is construed. As such, the ambition of E-BoP extends beyond the field of labour and social rights, and into other legal disciplines and branches of social sciences. Considering how the legal construction influences employment statistics, leading to the undercounting of temporary labour migrants, the project challenges the societal perception of reality."
PatentsInHumans,"Patents, Bioethics and the Human Body: Reconceptualising Bioethics in Patent Decision-Making and the Governance Function of Patents","PatentsInHumans challenges the current marginalisation of bioethics in patent decision-making for technologies related to the human body. A patent gives a rightsholder the right to stop others using a patented technology. This allows them to control how that technology is provided, to whom, and on what terms. Where patents are for technologies related to the body, this control poses considerable bioethical issues because patents can affect how we treat, use and modify bodies. Yet patent systems generally do not engage with such implications. All patents are treated the same, regardless of the underlying technology i.e. a patent on an engine part is treated the same as a patent on a medicine, despite the significant effects the latter has for health. PatentsInHumans proposes that there is a self-reinforcing cycle where patents are granted even if bioethical implications are posed by patents over such technologies. that there are limited incentives for rightsholders to license patents in a way that addresses bioethical implications, and that patents, once granted, are difficult to challenge if bioethical issues arise. PatentsInHumans radically reconceptualises patents as governance devices over the body in such contexts. It proposes that when patents are applied for, the underlying technology’s relationship to the body must be considered. The project will therefore evaluate the bioethical implications that patents over such technologies have for how we treat, use, or modify our bodies. These implications must guide patent decision-making and the adoption of licensing or grant conditions that pre-empt bioethical issues. The project develops a cross disciplinary institutional analysis to evaluate key legal, structural and cultural barriers leading to the marginalisation of bioethics in patent decision-making, and to formulate pathways to bring bioethics into patent decision-making for technologies related to the body with important conceptual and policy implications"
PINPOINT,"Politics, Institutions, and Production Networks","What are the political sources and consequences of economic globalization, and how do political institutions shape globalization? Current frameworks for understanding the politics over economic globalization emphasize a fragmentation of politics: political conflict breaks down to individual firms and citizens, because the gains from trade are concentrated on large, globally engaged, and politically active firms. Departing from this view, PINPOINT develops an innovative framework built on the linkages between firms created by domestic production networks. Production ties imply a much broader impact of economic globalization, because many domestic firms interact with international markets indirectly as suppliers and as customers of globally engaged firms. Moreover, these linkages vary in quantity and quality. To date, we know surprisingly little about the role of production networks in politics, which creates a mismatch between the structure of modern economies and current theoretical frameworks. Ignoring such ties risks misattributing the impact of economic globalization, overlooking economic roots of political coalitions, and misunderstanding the sources and consequences of economic globalization. PINPOINT places economic exchange between firms front and center in an account of the behavior of governments, firms, and citizens in the context of international markets, and of the role of institutions in such an account. PINPOINT will provide theoretical and empirical innovations that lead to a revised understanding of the political underpinnings of economic globalization and of the mechanisms through which institutions shape economic globalization."
TransLitigate,The Agency of Transnational Strategic Litigators in Global Governance,"Litigators feature in a crucial role as we confront the pressing global environmental governance challenges of the 21st Century. They possess an agency which is capable of driving the evolution and implementation of law across national boundaries and at the supranational level. This project proposes to develop a groundbreaking, explanatory model of transnational collaborations among strategic litigators which accounts for their modes of collaboration, how those collaborations affect their agency in controlling the issues in their respective fields, and how they negotiate complex ethical and professional challenges in their work. It proposes to develop this model through the combination of comparative doctrinal research and inductive qualitative socio-legal research across four case studies of strategic litigation: climate change, large-scale land transfers, pollution caused by extractives industries, and species conservation. It pursues the ground-breaking aim of explaining the multi-faceted and complex deliberations among transnational communities of litigators which give rise to and shape the landmark cases transforming environmental governance in diverse national contexts. With this contribution to the sociology of strategic litigators, the project will achieve a break-through in our understanding of how change can be initiated in legal systems to overcome perpetual obstacles and meet our global environmental challenges. It pursues a breakthrough in understanding how litigators drive states and their legal systems to act upon their ability to govern global environmental challenges, given the unlikeliness of it occurring through domestic and international lawmaking alone. In sum, the project aims to develop a groundbreaking model of an innovative type of agency and actor in global governance: the strategic litigator collaborating across borders."
FARRIO,The Effects of Far Right Challenges on International Organizations,"The rise of the far right poses a profound challenge to global politics. Diverse far-right actors, such as political parties, civil society groups, and social movements, have been gaining support in domestic contexts, while intensifying their transnational contacts. As these groups focus on national sovereignty and share a stance against globalization, they often contest international organizations (IOs) and their policies. Yet their impact on international organizations differs: On the one hand, far-right groups have profoundly changed negotiations on the Global Compact for Migration in the UN. On the other hand, radical-right parties in the European Parliament have hardly brought about any deeper policy changes. Why does transnational far-right contestation have varying effects on international organizations? While scholars have analyzed far-right actors in domestic politics, knowledge about their transnational activities and effects is limited. FARRIO fills this gap empirically, theoretically, and methodologically. Empirically, it compares effects of far-right contestation on the EU, the UN, and its specialized agencies/treaties in four central policy fields (migration, women's rights, climate change, and public health). Theoretically, it proposes that IO changes depend on the directness of far-right strategies and the liberal character of international organizations. It thereby breaks new ground in identifying scope conditions for far-right impact highly relevant for research on transnational protest as well as IO resilience and change. Methodologically, FARRIO draws on and further develops quantitative and qualitative methods. It adapts protest event and networks analysis to map transnational far-right contestation, also including social media data. Bridging Comparative Politics, Social Movement Studies, and the study of International Relations, FARRIO assesses the challenge far-right actors pose to IOs as well as what measures are suited to respond to it."
INTRAPARTY,The Benefits of Conflict: How Factions Can Enhance Political Parties' Electoral Performance,"DNA damage contributes to the ageing of tissues and causes mutations that drive cancer. However, the molecular mechanisms underlying many mutational processes are not understood, and neither is how much they contribute to disease. With a powerful new technology, I propose to close these major gaps for common ?clock? mutations of unknown origin. The recent genome sequencing revolution has revealed unexpected diversity in mutational patterns. One pattern in particular is intriguing as it behaves as a molecular ?clock?: the number of mutations increases over time and correlates with age. Although the textbook view of mutagenesis is that cell division is required to convert DNA damage into point mutations, surprisingly, non-dividing cells like neurons also accumulate ?clock? mutations as a function of time, indicating that ?clock? mutations arise without genome replication. Understanding how cells mutate independently of proliferation?and thus challenging the current paradigm of mutagenesis?is a fundamental question that has been hindered because assays to measure mutation require cell division. Excitingly, I have overcome this major obstacle by establishing a powerful strategy to sensitively detect mutations in single cells, genome-wide. My group will combine this approach with targeted genetic manipulations in cells and mice to answer two central questions. (1) How do cells mutate independently of proliferation? (2) What drives these mutations in tissues? My novel insights into endogenous DNA damage from mouse genetics and genomics, combined with the innovative sequencing strategy that I have established, uniquely position me to answer these long-standing questions. Together, the work proposed here will reveal the molecular mechanism(s) underlying the most common mutational process in humans: ?clock? mutation. The methods, data, and insights from these groundbreaking studies will directly impact cancer research and uncover novel sources of DNA damage during aging"
MANIFEST,MechANIsms and actors of Feasible Energy Transitions,"The technologies needed to decarbonize the electricity system are already commercially available. There are mathematical models of how these technologies can be deployed sufficiently fast and at a large enough scale to displace fossil fuels to meet climate targets. Yet there is no scientific method to evaluate whether these scenarios are feasible given the real world’s socio-political constraints. MANIFEST develops a new scientific understanding of socio-political feasibility of climate change mitigation that takes into account the context, actors and change over time. Theoretically, MANIFEST combines a definition of socio-political feasibility from political philosophy with the concept of causal mechanisms of energy transitions. Thus, I shift the thinking about the feasibility of climate change mitigation from its current focus on barriers and enablers to a dynamic and context sensitive view with space for actors and agency. Empirically, I focus on transitions in electricity supply including the expansion of low-carbon electricity and coal phase-out. I explore three areas which are critical for the feasibility of decarbonisation of electricity: (i) the role and capacities of international suppliers of electricity technologies, (ii) the competition between electricity technologies at the early stages of their introduction in emerging economies, and (iii) factors shaping the growth of low-carbon technologies and under what conditions they substitute carbon-intensive ones. Methodologically, I develop a new approach to assess the feasibility of climate solutions by constructing dynamic feasibility spaces which are a function of paths, contexts and actors. I test this approach by analysing national low-carbon electricity targets to determine whether states plan to accelerate decarbonisation beyond the current feasibility frontier. This dynamic feasibility space is a breakthrough in assessing the feasibility of national and global climate change mitigation solutions."
GRIP-ARM,Green Industrial Policy in the Age of Rare Metals: A Transregional Comparison of Growth Strategies in Rare Earth Mining,"Our new global political economy is increasingly defined by ‘critical raw materials’ – of which rare earths elements (or ‘rare earths’) are the most significant. The proposed study examines the globalized supply and demand for rare earths – from mining, processing, manufacturing, use and recycling – to have a closer scrutiny of mining both as a strategy for industrialization and as an integral part of contemporary efforts towards a sustainable supply of raw materials. GRIP-ARM interrogates the dynamics in rare earth mining that might lend this particular resource a tool for economic development. The project seeks to answer the following questions: (1) How do state capacity, business power and organizational structure of domestic markets shape the design of industrial policies in resource-rich countries? (2) What explains the success of some countries in generating linkages between resource extraction and manufacturing, and what accounts for their failure? (3) How effective are the responses of importing countries and their manufacturing industries in securing a stable supply while reducing the socio-environmental costs of extraction? The proposed research is one of the first systematic, comparative study on rare earths mining and economic development, which brings political science perspectives in conversation with natural resource geography and international political economy."
