Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Kowasch M.","55443063900;","Circular economy, cradle to cradle and zero waste frameworks in teacher education for sustainability",2022,"International Journal of Sustainability in Higher Education","23","6",,"1404","1425",,,"10.1108/IJSHE-10-2021-0428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125601026&doi=10.1108%2fIJSHE-10-2021-0428&partnerID=40&md5=bbdc259fa9dc68c35bca0d7d4db44c94","University College of Teacher Education Styria, Graz, Austria; Inland Norway University of Applied Sciences, Hamar, Norway","Kowasch, M., University College of Teacher Education Styria, Graz, Austria, Inland Norway University of Applied Sciences, Hamar, Norway","Purpose: Sustainability is a major concern in education policies. This paper aims to describe how alternative economic education including concepts of the circular economy (CE), cradle to cradle (C2C) and zero waste can be addressed by teacher education. The author asks to what extent such alternative concepts contribute to sustainability education and transitions and empower students and future teachers, through fieldtrips. Design/methodology/approach: Fieldtrips to three extracurricular learning places in Graz (Austria) – a plastic waste disposal facility, an upcycling design atelier and a supermarket without packaging – were organized as part of a university seminar on economy and sustainability. Based on student essays reflecting the fieldtrips, this praxeological paper provides insights on how students perceive awareness-raising and innovative responses to mass consumption, recycling/upcycling and waste prevention issues. Findings: Including altermatic economic frameworks, such as CE/C2C and zero waste, into teacher education contributes to reflections on the economic growth paradigm and promotes more sustainable futures. In various statements, students highlighted social-ecological change and awareness-raising. They rather focussed on recycling, upcycling and (plastic) packaging than on the problematic eco-efficiency of downcycling. Originality/value: Alternative economic concepts can be addressed and critically reflected in sustainability education, even if rarely taught. Although the extracurricular learning places described offer partial solution from the perspective of degrowth, they can serve as an eye-opener and promote alternative economic education, where students can share experiences, knowledge and creative ideas to engage in sustainability transitions. © 2020, Emerald Publishing Limited.","Circular economy/cradle to cradle; Fieldtrips; Recycling/upcycling; Sustainability education; Teacher education; Zero waste",,Article,"Final","",Scopus,2-s2.0-85125601026
"Ghosh N.","56861823700;","Between Growth-fetishism and Green Recovery",2022,"Ecology, Economy and Society","5","2",,"5","13",,,"10.37773/ees.v5i2.780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135166387&doi=10.37773%2fees.v5i2.780&partnerID=40&md5=d8c1504cc7525010e1984480a42fd3ca","Centre for New Economic Diplomacy, ORF Kolkata Centre, Observer Research Foundation, India","Ghosh, N., Centre for New Economic Diplomacy, ORF Kolkata Centre, Observer Research Foundation, India","This paper posits that the choices that global economies are faced with for post-pandemic development range between the extremes of growth-fetishism and green recovery. The paper highlights that green recovery and the green transition have different connotations in different parts of the world, leading to a huge divergence in their delineations across the Global North and South. The paper further argues that models of degrowth, which emphasize contraction of economic activities for the cause of nature, cannot be applied in large parts of the developing world. The challenge for a developing nation like India is to understand how and where it can position itself in this gamut of developmental paradigms that range between growth-fetishism and green recovery. The paper proposes that Indian green recovery must be based on the Sustainable Development Goals, hinging on two key elements: a) simultaneous augmentation of health-and education-induced human and physical capital without compromising the sustainability of natural capital; and b) reduced wealth, income, and social inequalities, thereby serving the cause of distributive justice. © Ghosh 2022.","Degrowth; Global North; Global South; Green Recovery; Growth-Fetishism; Human Capital; India; Natural Capital; Sustainable Development Goals",,Note,"Final","",Scopus,2-s2.0-85135166387
"Dai Y., Guo W., Chen L., Xu H., Alqatari F., Guo C., Peng X., Tang K., Liao C.-H., Li X., Ye J.","57212610209;55531902400;57191870553;57203887829;57189524254;57223143734;57225095608;57225111792;35269355800;34868373000;55980114500;","Polarization modulation of 2DEG toward plasma-damage-free GaN HEMT isolation",2022,"Applied Physics Letters","121","1","012104","","",,,"10.1063/5.0097037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134192779&doi=10.1063%2f5.0097037&partnerID=40&md5=c148eae5854db7b803493194536fa898","Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China; University of Chinese Academy of Sciences, Beijing, 100049, China; Advanced Semiconductor Laboratory, King Abdullah University of Science and Technology (KAUST), Thuwal, 23955, Saudi Arabia","Dai, Y., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Guo, W., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Chen, L., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China; Xu, H., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Alqatari, F., Advanced Semiconductor Laboratory, King Abdullah University of Science and Technology (KAUST), Thuwal, 23955, Saudi Arabia; Guo, C., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China; Peng, X., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China; Tang, K., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China; Liao, C.-H., Advanced Semiconductor Laboratory, King Abdullah University of Science and Technology (KAUST), Thuwal, 23955, Saudi Arabia; Li, X., Advanced Semiconductor Laboratory, King Abdullah University of Science and Technology (KAUST), Thuwal, 23955, Saudi Arabia; Ye, J., Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Zhejiang, Ningbo, 315201, China, University of Chinese Academy of Sciences, Beijing, 100049, China","GaN electronics have hinged on invasive isolation such as mesa etching and ion implantation to define device geometry, which, however, suffer from damages, hence potential leakage paths. In this study, we propose a new paradigm of polarization isolation utilizing intrinsic electronic properties, realizing in situ isolation during device epitaxy without the need of post-growth processing. Specifically, adjacent III- and N-polar AlGaN/GaN heterojunctions were grown simultaneously on the patterned AlN nucleation layer on c-plane sapphire substrates. The two-dimensional electron gas (2DEG) was formed at III-polar regions but completely depleted in N-polar regions, thereby isolating the 2DEG channels with a large 3.5 eV barrier. Structures of polarization-isolated high electron mobility transistors (PI-HEMTs) exhibit significantly reduced isolation leakage currents by up to nearly two orders of magnitude at 50 V voltage bias compared to the state-of-the-art results. Aside from that, a high isolation breakdown voltage of 2628 V is demonstrated for the PI-HEMT structure with 3 μm isolation spacing, which is two-times higher than a conventional mesa-isolation HEMT. Moreover, the PI-HEMT device shows a low off-state leakage current of 2 × 10-8 mA/mm with a high Ion/Ioff ratio of 109 and a nearly ideal subthreshold slope of 61 mV/dec. This work demonstrates that polarization isolation is a promising alternative toward the plasma-damage-free isolation for GaN electronics. © 2022 Author(s).",,"Aluminum gallium nitride; Aluminum nitride; Electronic properties; Etching; Gallium nitride; Heterojunctions; High electron mobility transistors; III-V semiconductors; Leakage currents; Sapphire; Two dimensional electron gas; Damage-free; Device geometries; GaN HEMTs; High electron-mobility transistors; Ions implantation; MESA etching; N-polar; Plasma damage; Polar Regions; Polarization-modulation; Polarization",Article,"Final","",Scopus,2-s2.0-85134192779
"Avery R.A.T., Butera F.","57802951600;7003722857;","Minority Influence and Degrowth-Oriented Pro-environmental Conflict: When Emotions Betray Our Attachment to the Social Dominant Paradigm",2022,"Frontiers in Psychology","13",,"899933","","",,,"10.3389/fpsyg.2022.899933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134186139&doi=10.3389%2ffpsyg.2022.899933&partnerID=40&md5=4b4e3698c09ae70926e4b6199f3521a9","Institute of Psychology, University of Lausanne, Lausanne, Switzerland","Avery, R.A.T., Institute of Psychology, University of Lausanne, Lausanne, Switzerland; Butera, F., Institute of Psychology, University of Lausanne, Lausanne, Switzerland","If today the anthropogenic origin of climate change gathers almost total scientific consensus, human pro-environmental action is not changing with sufficient impact to keep global warming within the 1.5° limit. Environmental psychology has traditionally focused on the underlying barriers towards more pro-environmental behaviours. Emotions—like fear or anger—may act as such barriers especially in case of radical change (e.g., degrowth). While minority influence has been extensively applied to understand societal change, it has rarely been applied to understand the emotional responses that may hinder counter-normative pro-environmental messages. However, past literature on emotions shows that, in challenging situations—the likes of radical minority conflict—people will tend to use their emotional reaction to maintain societal status quo. Two studies investigated how participants emotionally react towards a counter-normative pro-environmental minority message (advocating degrowth). A qualitative (thematic analyses) and a quantitative (emotional self-report paradigm) studies showed that participants report emotions that allow them to realign themselves with the cultural backdrop of the social dominant paradigm (growth), thus resisting change. Specifically, although all participants tend to demonstrate higher proportions of control-oriented emotions, men do so more. These effects, as well as questions of cultural and ideological dominance, are discussed considering barriers towards pro-environmentalism. Copyright © 2022 Avery and Butera.","change; conflict; degrowth; emotions; minority influence; pro-environmental action",,Article,"Final","",Scopus,2-s2.0-85134186139
"Rigal S.","57144170700;","Social-environmental index: combining social and biophysical indicators reveals limits to growth",2022,"Ecology and Society","27","2","33","","",,,"10.5751/ES-13238-270233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133215555&doi=10.5751%2fES-13238-270233&partnerID=40&md5=3c58855fc7905e9c291173164648a2e4","Institut des Sciences de l'Évolution de Montpellier, Univeristé de Montpellier, CNRS, EPHE, IRD, Montpellier, France","Rigal, S., Institut des Sciences de l'Évolution de Montpellier, Univeristé de Montpellier, CNRS, EPHE, IRD, Montpellier, France","The negative impact of the dominant socioeconomic paradigm on the biosphere, on the climate, and on societies themselves is acute. Yet, the success of countries is measured by indicators known to be limited because they target a socially attractive but environmentally unsustainable model of society. A myriad of indicators have been proposed to address this lack of relevant measurements that assess the real social achievements of countries. At the same time, the impacts of human societies on life and climate have become increasingly well monitored and have shown the ecological deadlock of the dominant development model. Although social and environmental thresholds have been highlighted, combined indices that allow countries to track their trajectories toward greater social justice without exceeding biophysical thresholds are still lacking. A combined socio-environmental index (SEI) is constructed here to fill this gap. The relationship between SEI and gross domestic product (GDP), population density and sustainable development index (SDI) is then analyzed. This allows for a re-examination of the Easterlin paradox from a social and environmental perspective. In addition, considering population density allows to test the influence of population on the country’s sustainability success. It is shown that combining social and environmental thresholds into a combined index is not only feasible but provides a useful complementary tool to detailed and specific social or environmental indicators. SEI highlights and quantifies the limits, already exceeded in many countries, beyond which economic development is clearly related to a decline in social achievements and a crossing of biophysical thresholds. Unlike GDP, population density and population growth were not found as being related to the current unsustainable development model. Therefore, the results call for a degrowth in the environmental impact of high-income countries, which may result in social improvements and yield room of maneuver for the development of social foundations in other countries. All of these transformations require new narratives, goals, and measurement tools that can be partly provided by SEI. © 2022 by the author(s).","degrowth; Easterlin paradox; planetary boundaries; socio-environmental index; strong sustainability",,Article,"Final","",Scopus,2-s2.0-85133215555
"Tschersich J., Kok K.P.W.","57209413515;57214913470;","Deepening democracy for the governance toward just transitions in agri-food systems",2022,"Environmental Innovation and Societal Transitions","43",,,"358","374",,,"10.1016/j.eist.2022.04.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129724858&doi=10.1016%2fj.eist.2022.04.012&partnerID=40&md5=8b68a051772e518d76edec318b7d1843","Copernicus Institute of Sustainable Development, Faculty of Geosciences, Utrecht University, Vening Meinesz building, Princetonlaan 8a, CB, Utrecht, 3584, Netherlands; Athena Institute, VU University Amsterdam, De Boelelaan 1085, Amsterdam, 1081HV, Netherlands","Tschersich, J., Copernicus Institute of Sustainable Development, Faculty of Geosciences, Utrecht University, Vening Meinesz building, Princetonlaan 8a, CB, Utrecht, 3584, Netherlands; Kok, K.P.W., Athena Institute, VU University Amsterdam, De Boelelaan 1085, Amsterdam, 1081HV, Netherlands","In this paper, we explore the relation between democracy and justice in governing agri-food transitions. We argue that a deeper understanding of democracy is needed to foster just transitions. First, we present a multi-dimensional understanding of justice in transitions and relate it to scholarship on democratizing transitions. Then, we argue that three paradigm shifts are required to overcome current unsustainable dynamics: (1) from expert toward pluralist understandings of knowledge; (2) from economic materialism toward post-growth strategies; and (3) from anthropocentrism toward reconnecting human-nature relationships. We explicate what these paradigm shifts entail for democratizing transitions from distributive, procedural, recognition and restorative justice perspectives. Finally, we highlight six challenges to institutionalizing deep democratic governance. These entail balancing tensions between: multiple justice dimensions, democracy and urgency, top-down and bottom-up directionalities, local and global scales, realism and idealism, and roles of incumbent scientific systems. This requires thoroughly rethinking transition studies’ normative and democratic ambitions. © 2022","Agri-food systems; Democracy; Governance; Just transition; Justice; Sustainability","democracy; economic conditions; governance approach; nature-society relations; strategic approach; sustainability",Article,"Final","",Scopus,2-s2.0-85129724858
"Bodirsky B.L., Chen D.M.-C., Weindl I., Soergel B., Beier F., Molina Bacca E.J., Gaupp F., Popp A., Lotze-Campen H.","35745670500;57208147658;53064930300;57224629454;57208152948;57214331056;57035310400;35732066600;14321817400;","Integrating degrowth and efficiency perspectives enables an emission-neutral food system by 2100",2022,"Nature Food","3","5",,"341","348",,1,"10.1038/s43016-022-00500-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130160099&doi=10.1038%2fs43016-022-00500-3&partnerID=40&md5=46d3c7513b84da9806022a9fb648c687","Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany; World Vegetable Center, Tainan, Taiwan; Humboldt-Universität zu Berlin, Berlin, Germany; EAT, Oslo, Norway","Bodirsky, B.L., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany, World Vegetable Center, Tainan, Taiwan; Chen, D.M.-C., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany, Humboldt-Universität zu Berlin, Berlin, Germany; Weindl, I., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany; Soergel, B., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany; Beier, F., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany, Humboldt-Universität zu Berlin, Berlin, Germany; Molina Bacca, E.J., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany, Humboldt-Universität zu Berlin, Berlin, Germany; Gaupp, F., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany, EAT, Oslo, Norway; Popp, A., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany; Lotze-Campen, H., Potsdam Institute for Climate Impact Research (PIK), Member of the Leibniz Association, Potsdam, Germany","Degrowth proponents advocate reducing ecologically destructive forms of production and resource throughput in wealthy economies to achieve environmental goals, while transforming production to focus on human well-being. Here we present a quantitative model to test degrowth principles in the food and land system. Our results confirm that reducing and redistributing income alone, within current development paradigms, leads to limited greenhouse gas (GHG) emission mitigation from agriculture and land-use change, as the nutrition transition towards unsustainable diets already occurs at relatively low income levels. Instead, we show that a structural, qualitative food system transformation can achieve a steady-state food system economy that is net GHG-neutral by 2100 while improving nutritional outcomes. This sustainable transformation reduces material throughput via a convergence towards a needs-based food system, is enabled by a more equitable income distribution and includes efficient resource allocation through the pricing of GHG emissions as a complementary strategy. It thereby integrates degrowth and efficiency perspectives. © 2022, The Author(s), under exclusive licence to Springer Nature Limited.",,,Article,"Final","",Scopus,2-s2.0-85130160099
"Monserand A.","57211858105;","Buying into inequality: a macroeconomic analysis linking accelerated obsolescence, interpersonal inequality, and potential for degrowth",2022,"European Journal of Economics and Economic Policies: Intervention","19","1",,"119","137",,,"10.4337/ejeep.2022.01.09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131678803&doi=10.4337%2fejeep.2022.01.09&partnerID=40&md5=72330af32167cd38ff9433294bee9737","Centre d’Economie de l’Université Paris Nord (CEPN), Université Sorbonne Paris Nord, France","Monserand, A., Centre d’Economie de l’Université Paris Nord (CEPN), Université Sorbonne Paris Nord, France","This article establishes a theoretical link between accelerated obsolescence and interpersonal inequality of income and wealth. The author designs a simple stock–flow consistent macroeconomic model and simulates an acceleration of obsolescence in different budget and fiscal policy scenarios. His results show that, despite the increase in revenues generated by extra constrained expenditures and the associated multiplicative effects, the economic consequences of fast obsolescence remain negative. As effective disposable income declines for workers and either decreases less or increases for capitalists, income and wealth inequalities are exacerbated. Hence an acceleration of obsolescence has detrimental effects both on distributive and on environmental grounds. Conversely, in line with the degrowth paradigm, the author shows how slowing down obsolescence may be sensible both socioeconomically and environmentally. It would be beneficial to wage earners while reducing pressures on the environment; the only losers would be profit earners. © 2022 The Author.","degrowth; ecological macroeconomics; inequality; obsolescence; stock–flow consistent modelling",,Article,"Final","",Scopus,2-s2.0-85131678803
"Ferreira A.C., Borges R., de Lacerda L.D.","55598646900;57197715485;57216790029;","Can Sustainable Development Save Mangroves?",2022,"Sustainability (Switzerland)","14","3","1263","","",,1,"10.3390/su14031263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123507726&doi=10.3390%2fsu14031263&partnerID=40&md5=798b0dd7260bb2f70d7f705809cbb401","Instituto de Ciências do Mar, Universidade Federal do Ceará, Av. Abolição 3207, Ceará, Fortaleza, 60185-081, Brazil; Fachbereich 2 Biologie/Chemie (FB2), Universität Bremen, Bremen, 28359, Germany","Ferreira, A.C., Instituto de Ciências do Mar, Universidade Federal do Ceará, Av. Abolição 3207, Ceará, Fortaleza, 60185-081, Brazil; Borges, R., Fachbereich 2 Biologie/Chemie (FB2), Universität Bremen, Bremen, 28359, Germany; de Lacerda, L.D., Instituto de Ciências do Mar, Universidade Federal do Ceará, Av. Abolição 3207, Ceará, Fortaleza, 60185-081, Brazil","The Earth is warming, ecosystems are being overexploited, oceans are being polluted, and thousands of species are going extinct—all fueled by the need for a permanent increase in production for more consumerism and development. “Business as usual” continues untouched, while increasing attention has been given to the “sustainable development” concept. Despite their importance as life supporting ecosystems, forests, oceans, and wetlands are being destroyed at an accelerating rate. The conservation and restoration of mangroves, for example, are also vital for the planet to face catastrophic global warming. Based on a non-systematic literature review, we address how true mangrove conservation is incompatible with so-called “sustainable development”. We turn to the urgent changes needed to avoid environmental and societal collapse, promoted by the Western economic development paradigm, and address why the sustainable development approach has failed to stop environmental degradation and protect resources for next generations. Proposed solutions involve the rejection of the capital-oriented, nature-predatory systems, degrowth, a deep transformation of our energy matrix, and a shift in our nutrition to lower levels of the food chain. These are based on a profound sense of responsibility over the planet, respecting all life forms, ecosystem dynamics, and life sustaining properties of the biosphere. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Conservation; Developmentalism; Economic development; Ecosystem collapse; Environmental inequity; Life support ecosystems; Sustainable development","economic development; environmental degradation; global warming; mangrove; restoration ecology; sustainable development",Review,"Final","",Scopus,2-s2.0-85123507726
"Fioramonti L., Coscieme L., Costanza R., Kubiszewski I., Trebeck K., Wallis S., Roberts D., Mortensen L.F., Pickett K.E., Wilkinson R., Ragnarsdottír K.V., McGlade J., Lovins H., De Vogli R.","6507472526;38361071100;7005761060;20434008800;56445784600;57310336100;14325887500;57191405249;7003324318;7402271996;55904384000;8438762300;56028616100;8911957000;","Wellbeing economy: An effective paradigm to mainstream post-growth policies?",2022,"Ecological Economics","192",,"107261","","",,3,"10.1016/j.ecolecon.2021.107261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117830217&doi=10.1016%2fj.ecolecon.2021.107261&partnerID=40&md5=37e510f9705d2d2531d12476c3117858","Department of Political Sciences, University of Pretoria, South Africa; Hot or Cool Institute, Berlin, Germany; Crawford School of Public Policy, The Australian National University, Australia; Wellbeing Economy Alliance, Glasgow, United Kingdom; Environmental Planning and Climate Protection Department, eThekwini Municipality, Durban, South Africa; European Environment Agency, Copenhagen, Denmark; Department of Health Sciences, University of YorkUK, United Kingdom; Division of Epidemiology and Public Health, University of NottinghamUK, United Kingdom; Institutes of Earth Sciences and Sustainable Development Studies, University of Iceland, Iceland; University College LondonUK, United Kingdom; Natural Capitalism Solutions, Longmont, CO, United States; Department of Social Psychology and Development, University of Padova, Italy","Fioramonti, L., Department of Political Sciences, University of Pretoria, South Africa; Coscieme, L., Hot or Cool Institute, Berlin, Germany; Costanza, R., Crawford School of Public Policy, The Australian National University, Australia; Kubiszewski, I., Crawford School of Public Policy, The Australian National University, Australia; Trebeck, K., Wellbeing Economy Alliance, Glasgow, United Kingdom; Wallis, S., Wellbeing Economy Alliance, Glasgow, United Kingdom; Roberts, D., Environmental Planning and Climate Protection Department, eThekwini Municipality, Durban, South Africa; Mortensen, L.F., European Environment Agency, Copenhagen, Denmark; Pickett, K.E., Department of Health Sciences, University of YorkUK, United Kingdom; Wilkinson, R., Division of Epidemiology and Public Health, University of NottinghamUK, United Kingdom; Ragnarsdottír, K.V., Institutes of Earth Sciences and Sustainable Development Studies, University of Iceland, Iceland; McGlade, J., University College LondonUK, United Kingdom; Lovins, H., Natural Capitalism Solutions, Longmont, CO, United States; De Vogli, R., Department of Social Psychology and Development, University of Padova, Italy","The concept of ‘wellbeing economy’ (WE), that is, an economy that pursues human and ecological wellbeing instead of material growth, is gaining support amongst policymakers, business, and civil society. Over the past couple of years, several national governments have adopted the WE as their guiding framework to design development policies and assess social and economic progress. While it shares a number of basic principles with various post-growth conceptualisations, the WE's language and concepts tend to be more adaptable to different social and economic contexts, thus penetrating into policy processes and connecting to a variety of cultural traits, not only in advanced economies but also in less industrialised nations. In this paper, we describe the key features of the WE, including its approach to key concepts like work, productivity and technology and several examples of its policy impact. We conclude by positing that the WE framework may be one of the most effective bases to mainstream post-growth policies at the national and global level. © 2021 Elsevier B.V.","Degrowth; Post-Growth; SDGs; Sustainability; Wellbeing","design; language; policy making; productivity; support; technology",Article,"Final","",Scopus,2-s2.0-85117830217
